customer id,customer_name,age,gender,age_category,churn,total_spend,average_spend,purchase_count
1,Nicole Johnson,70,Male,Senior,0,845,845.0,1
2,Marie Wright,27,Female,Adult,0,1070,356.6666666666667,3
3,Julie Wolfe,23,Female,Young Adult,0,5041,630.125,8
4,Tracey Smith,66,Male,Senior,1,1433,358.25,4
5,Nancy Jones,26,Female,Adult,0,7881,985.125,8
6,Kayla Smith,24,Female,Young Adult,1,2024,337.3333333333333,6
7,Kristina Miller,34,Female,Adult,0,3155,1051.6666666666667,3
8,Michael Weber,50,Female,Middle Age,0,3894,649.0,6
9,Laurie Holmes,41,Female,Middle Age,0,3175,635.0,5
10,Jessica Daniels,58,Female,Senior,1,4993,624.125,8
11,Ashley Lucas,34,Female,Adult,0,7336,733.6,10
12,Christopher Clark,33,Male,Adult,0,2569,428.1666666666667,6
13,Benjamin Christensen,54,Female,Senior,0,4027,1006.75,4
14,Darren Myers,63,Female,Senior,1,4415,735.8333333333334,6
15,Heather Jimenez,64,Male,Senior,0,4176,835.2,5
16,Melissa Kaufman,50,Male,Middle Age,1,3112,622.4,5
17,Amy Morse,22,Male,Young Adult,0,5384,598.2222222222222,9
18,David Sanchez,58,Male,Senior,0,5383,672.875,8
19,Brittney Owen,63,Male,Senior,1,2798,559.6,5
20,John Rivera,62,Male,Senior,0,7341,917.625,8
21,Richard Fletcher,69,Male,Senior,0,2610,652.5,4
22,Marvin Smith,61,Male,Senior,0,9504,1056.0,9
23,Joseph Hernandez,62,Female,Senior,1,5084,847.3333333333334,6
24,Jamie Watson,49,Female,Middle Age,1,6418,1069.6666666666667,6
25,Jose Boone,33,Male,Adult,0,3956,659.3333333333334,6
26,Eric Roach,36,Male,Middle Age,1,4640,773.3333333333334,6
27,Daniel Lopez,61,Male,Senior,1,3792,1264.0,3
28,Eric Mendez,70,Male,Senior,0,3983,663.8333333333334,6
29,Frank Smith,36,Male,Middle Age,0,5263,751.8571428571429,7
30,Jerry Montes,27,Male,Adult,0,12449,1131.7272727272727,11
31,Tara Campbell,23,Female,Young Adult,0,2227,556.75,4
32,James Blake,19,Female,Young Adult,1,4324,720.6666666666666,6
33,Laura Norris,37,Female,Middle Age,0,6312,789.0,8
34,Steven Tate,41,Male,Middle Age,0,3750,1875.0,2
35,Jacqueline French,27,Male,Adult,1,7287,910.875,8
36,Richard Cruz,36,Female,Middle Age,0,4492,1123.0,4
37,Steven Mercado IV,44,Female,Middle Age,0,2306,576.5,4
38,Chad Hendrix,70,Male,Senior,0,1852,617.3333333333334,3
39,Joshua Johnson,43,Male,Middle Age,0,1537,384.25,4
40,Brooke Jones,56,Female,Senior,0,270,135.0,2
41,Andrew Garcia,54,Male,Senior,1,4487,747.8333333333334,6
42,Ross Cowan,21,Male,Young Adult,0,796,265.3333333333333,3
43,Clifford Davis,29,Female,Adult,0,2420,484.0,5
44,Matthew Farmer,51,Male,Senior,0,3988,797.6,5
45,Jason Foster,46,Male,Middle Age,1,828,414.0,2
46,Gina Simpson,61,Male,Senior,0,8238,1176.857142857143,7
47,Melanie Duncan,43,Female,Middle Age,0,1364,454.6666666666667,3
48,Chris Taylor,43,Female,Middle Age,1,4199,839.8,5
49,Stacy Smith,19,Male,Young Adult,0,3815,953.75,4
50,Gail Lopez,25,Female,Young Adult,0,3046,609.2,5
51,Nicole Garrison,27,Female,Adult,1,1980,495.0,4
52,Sandra Schroeder,24,Female,Young Adult,0,1299,649.5,2
53,David Kim,37,Male,Middle Age,0,2074,1037.0,2
54,Beth Garcia,40,Female,Middle Age,0,3164,632.8,5
55,Jose Cooke,47,Female,Middle Age,0,1383,276.6,5
56,Carolyn Keith,42,Male,Middle Age,0,8421,1052.625,8
57,Spencer Duke,23,Female,Young Adult,0,1744,581.3333333333334,3
58,Paula Nguyen,24,Female,Young Adult,0,3097,619.4,5
59,David Aguilar,34,Male,Adult,0,4130,688.3333333333334,6
60,Mr. Mark Walker,37,Male,Middle Age,0,1702,340.4,5
61,William Strong,60,Male,Senior,0,3840,640.0,6
62,Melissa Mcknight,38,Female,Middle Age,1,8108,1621.6,5
63,Dominic Clark,29,Female,Adult,0,1400,700.0,2
64,Matthew Pham,41,Male,Middle Age,0,1030,515.0,2
65,Anthony Mcmillan,51,Female,Senior,0,4414,735.6666666666666,6
66,James Johnson,20,Female,Young Adult,0,2103,420.6,5
67,Andrea Scott,34,Female,Adult,0,7605,760.5,10
68,Evan Fuller,43,Female,Middle Age,0,6781,847.625,8
69,Christopher Bush,28,Female,Adult,0,4629,771.5,6
70,Miss Sara Black,45,Female,Middle Age,0,3259,465.57142857142856,7
71,Linda Vazquez,54,Female,Senior,1,5720,817.1428571428571,7
72,Bradley Collins,52,Male,Senior,0,2817,939.0,3
73,David Freeman,40,Female,Middle Age,0,6082,1013.6666666666666,6
74,Aaron Fox,66,Male,Senior,1,1104,368.0,3
75,Devin Wilson,46,Male,Middle Age,0,4111,822.2,5
76,John Carrillo Jr.,49,Female,Middle Age,0,2630,657.5,4
77,David Kennedy,65,Female,Senior,1,3244,648.8,5
78,Nicholas Mitchell,23,Female,Young Adult,0,4944,988.8,5
79,Kimberly Kelley,41,Male,Middle Age,0,4516,752.6666666666666,6
80,Angela Walker,44,Female,Middle Age,1,3202,1067.3333333333333,3
81,Isaac Ingram,18,Male,Young Adult,1,6322,790.25,8
82,Cassandra Yu,56,Female,Senior,0,5583,797.5714285714286,7
83,Kendra White,29,Female,Adult,0,2205,551.25,4
84,Sara Palmer,69,Female,Senior,1,1277,638.5,2
85,Mark Bradford,31,Female,Adult,0,7383,1230.5,6
86,Pamela Oconnell,40,Male,Middle Age,0,6949,1158.1666666666667,6
87,Lisa Greene,53,Female,Senior,1,2385,1192.5,2
88,Sandra Anderson,49,Female,Middle Age,0,1519,759.5,2
89,Alice Boyer,38,Male,Middle Age,0,5666,944.3333333333334,6
90,Edward Bailey,65,Female,Senior,0,2686,537.2,5
91,Thomas Sandoval,21,Female,Young Adult,0,4611,658.7142857142857,7
92,Tami Brown,43,Female,Middle Age,0,4504,900.8,5
93,Peter Dean,49,Male,Middle Age,0,2865,716.25,4
94,Duane Anderson,60,Male,Senior,1,3477,579.5,6
95,Ricky Dudley,60,Female,Senior,0,3935,562.1428571428571,7
96,Jerry Vasquez,63,Female,Senior,0,2905,484.1666666666667,6
97,Kelsey Williams,54,Female,Senior,0,1333,266.6,5
98,Patricia Jordan,20,Male,Young Adult,0,6537,1089.5,6
